MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
235966868,2026-03-15T12:11:06,19.486134,71.518131,16.0,68.3,71.0,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:13:37,19.490178,71.528925,15.8,69.4,70.3,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:16:57,19.4952,71.543683,15.9,69.9,74.6,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:19:29,19.499062,71.554655,16.2,68.9,69.9,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:22:39,19.504312,71.568753,15.9,69.3,64.2,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:25:23,19.508443,71.580953,16.0,69.5,67.0,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:28:29,19.513393,71.594556,16.2,69.1,68.6,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:31:41,19.51842,71.608728,15.8,69.2,68.5,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:34:35,19.523032,71.621552,15.8,69.0,65.4,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:40:18,19.531961,71.646823,16.0,69.3,69.5,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:44:28,19.538617,71.664992,15.8,68.6,65.8,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:46:35,19.54214,71.67438,16.4,69.2,70.6,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:49:53,19.547234,71.689061,16.2,69.6,70.7,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:52:08,19.550799,71.699141,15.8,69.6,68.2,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:56:15,19.557047,71.71705,16.2,69.0,69.5,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T12:58:49,19.561447,71.728537,16.5,69.0,64.8,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
235966868,2026-03-15T13:01:36,19.565655,71.740817,16.1,69.2,71.1,MV MONSOON VOYAGER,IMO5966868,MV6868,60,0,107.2,26.5,7.4,60
